학번,입학일자,교육과정,등록학기,학년,주야,현학적,학과명,성별,전공1,전공2,부전공,비고,공학인증여부
21300262,20130301,140,5,3,주간,일반휴학,언론정보문화학부,여,공연영상학,언론정보학,,복수,
21300263,20130301,140,1,1,주간,군입대휴학,글로벌리더십학부,남,,,,,
21300264,20130301,140,7,4,주간,입학,상담심리사회복지학부,여,상담심리학,언론정보학,,연계,
21300265,20130301,140,7,4,주간,입학,경영경제학부,여,경영학,영어,,연계,
21300266,20130301,140,3,2,주간,복학,기계제어공학부,남,기계공학,상담심리학,,연계,
21300267,20130301,140,4,2,주간,군입대휴학,전산전자공학부,남,컴퓨터공학,Global Entrepreneurship,,연계,
21300268,20130301,140,4,2,주간,군입대휴학,전산전자공학부,남,전자공학심화,,,,공학인증
21300269,20130301,140,4,2,주간,군입대휴학,생명과학부,남,생명과학(66),,,,
21300270,20130301,140,4,2,주간,군입대휴학,경영경제학부,남,경영학,Global Entrepreneurship,,연계,
21300271,20130301,140,4,2,주간,군입대휴학,전산전자공학부,남,전자공학,컴퓨터공학,,복수,
21300272,20130301,140,7,4,주간,입학,언론정보문화학부,여,공연영상학,상담심리학,,연계,
21300273,20130301,140,6,3,주간,복학,경영경제학부,여,경제학,한국법,,연계,
21300274,20130301,140,7,4,주간,입학,경영경제학부,여,경영학,컴퓨터공학,,연계,
21300275,20130301,140,4,2,주간,일반휴학,생명과학부,여,생명과학(66),,,,
21300276,20130301,140,7,4,주간,입학,법학부,여,한국법,US and International Law,,복수,
21300277,20130301,140,3,2,주간,복학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300278,20130301,140,4,2,주간,군입대휴학,언론정보문화학부,남,공연영상학,경영학,,연계,
21300279,20130301,140,4,2,주간,제적,상담심리사회복지학부,여,사회복지학,상담심리학,,복수,
21300280,20130301,140,4,2,주간,일반휴학,법학부,여,한국법,US and International Law,,복수,
21300281,20130301,140,3,2,주간,일반휴학,상담심리사회복지학부,여,사회복지학,상담심리학,,복수,
21300282,20130301,140,4,2,주간,군입대휴학,상담심리사회복지학부,남,상담심리학,사회복지학,,복수,
21300283,20130301,140,6,3,주간,복학,법학부,여,US and International Law,국제지역학,,연계,
21300284,20130301,140,4,2,주간,군입대휴학,법학부,남,한국법,사회복지학,,연계,
21300285,20130301,140,2,1,주간,군입대휴학,경영경제학부,남,경영학,경제학,,복수,
21300286,20130301,140,7,4,주간,입학,생명과학부,남,생명과학(66),,,,
